msa,name,name_norm,tier,city,state,zip,source_form_d,source_sbir,source_nih,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,entity_type,industry,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year
philadelphia,"RHEOMEDIX, INC.",rheomedix,confirmed_grant,PHILADELPHIA,PA,19144-0352,False,True,False,0.0,2.0,797381.0,0.0,0.0,,,,,,,,,2003,2006
philadelphia,RHINO THERAPEUTICS INC,rhino therapeutics,confirmed_grant,WILMINGTON,DE,19801-1120,False,True,True,0.0,1.0,295662.0,1.0,295662.0,,,,,E73SF41A3EM3,,https://www.rhinotherapeutics.com/,2,2024,2024
philadelphia,RIDE ROUNDTRIP INC,ride roundtrip,confirmed_grant,PHILADELPHIA,PA,19123-4010,False,True,True,0.0,1.0,252131.0,1.0,252131.0,,,,,VL8MNAK19KW6,080387481,http://www.roundtriphealth.com,30,2020,2020
philadelphia,"RIGHTCARE SOLUTIONS, INC.",rightcare solutions,confirmed_grant,HORSHAM,PA,19044-2347,False,True,False,0.0,3.0,2502765.0,0.0,0.0,,,,,,968508767,www.rightcaresolutions.com,16,2012,2015
philadelphia,RMW RESEARCH,rmw research,confirmed_grant,Willingboro,NJ,08046,False,True,False,0.0,1.0,148701.0,0.0,0.0,,,,,,160017591,,1,2004,2004
philadelphia,RNA THERAPEUTICS INC.,rna therapeutics,confirmed_grant,MIDDLETOWN,DE,19709,False,True,True,0.0,1.0,299967.0,1.0,299967.0,,,,,DLVLULLCPB38,,,5,2024,2024
philadelphia,"ROCKLAND IMMUNOCHEMICALS, INC.",rockland immunochemicals,confirmed_grant,POTTSTOWN,PA,19464-3468,False,True,False,0.0,11.0,3800913.0,0.0,0.0,,,,,NFKNUGEMMY18,058999129,,0,2008,2016
philadelphia,"RSL TECHNOLOGY CENTER, INC.",rsl technology center,confirmed_grant,Richboro,PA,18954,False,True,False,0.0,1.0,69669.0,0.0,0.0,,,,,,,,,1999,1999
philadelphia,RTM Vital Signs LLC,rtm vital signs,confirmed_grant,Ambler,PA,19002-2532,False,True,True,0.0,3.0,1893922.0,2.0,1602541.0,,,,,YTJ8KKHGBMT1,079741722,rtmvitalsigns.com,4,2019,2025
philadelphia,"RUSSELL BIOTECH, INC.",russell biotech,confirmed_grant,HUNTINGDON VALLEY,PA,19006,False,True,False,0.0,1.0,159697.0,0.0,0.0,,,,,,801238705,,,2009,2009
philadelphia,Radiation Research Corp,radiation research,confirmed_grant,Newark,NJ,07104,False,True,False,0.0,0.0,49000.0,0.0,0.0,,,,,,,,,1986,1986
philadelphia,"Rarick Consulting, Inc.",rarick consulting,confirmed_grant,Bensalem,PA,00000-0190,False,True,False,0.0,0.0,65000.0,0.0,0.0,,,,,,,,,1998,1998
philadelphia,"Reading Ways, Inc",reading ways,confirmed_grant,Wilmington,DE,19802,False,True,False,0.0,1.0,250000.0,0.0,0.0,,,,,YUSRNMALY6M5,118411216,,,2022,2022
philadelphia,Recupero Robotics LLC,recupero robotics,confirmed_grant,Philadelphia,PA,19146-2701,False,True,True,0.0,2.0,1769109.0,5.0,1769109.0,,,,,N3C3P57GGKZ4,081071517,,8,2021,2022
philadelphia,"Reliability & Performance Technologies, LLC",reliability performance technologies,confirmed_grant,Dublin,PA,18917-2108,False,True,False,0.0,2.0,843376.0,0.0,0.0,,,,,CKHENMW6SYA5,135258353,https://www.rp-tech.net,185,2005,2006
philadelphia,"Reshet, Inc.",reshet,confirmed_grant,Philadelphia,PA,19104,False,True,False,0.0,0.0,1497589.0,0.0,0.0,,,,,,,,12,1988,1995
philadelphia,Resin Research Laboratories,resin research laboratories,confirmed_grant,Newark,NJ,07114,False,True,False,0.0,0.0,18508.0,0.0,0.0,,,,,,,,,1984,1984
philadelphia,"Respana Therapeutics, Inc",respana therapeutics,confirmed_grant,Philadelphia,PA,19104,False,True,True,0.0,3.0,3062095.0,4.0,2763597.0,,,,,QGKNUK6SJUW4,080588251,,3,2018,2023
philadelphia,Rey Research Corp.,rey research,confirmed_grant,Hockessin,DE,19707-0102,False,True,False,0.0,1.0,69990.0,0.0,0.0,,,,,,108537866,,2,2002,2002
philadelphia,"Rf Products, Inc.",rf products,confirmed_grant,Camden,NJ,08103,False,True,False,0.0,0.0,47137.0,0.0,0.0,,,,,,,,92,1984,1984
philadelphia,RiKarbon Inc,rikarbon,confirmed_grant,Newark,DE,19713,False,True,False,0.0,6.0,6569241.0,0.0,0.0,,,,,LWMLHPUM9L83,080524691,https://rikarbon.com/,6,2018,2024
philadelphia,Ribonova Inc. ,ribonova,confirmed_grant,Wynnewood,PA,19096-3450,False,True,False,0.0,3.0,2572865.0,0.0,0.0,,,,,L9NJDJ177B39,969728125,www.ribonova.com,4,2015,2018
philadelphia,Ridge-com Inc,ridge com,confirmed_grant,Haverford,PA,19041,False,True,False,0.0,0.0,49834.0,0.0,0.0,,,,,,,,,1991,1991
philadelphia,S.g. Frantz Co. Inc.,s g frantz,confirmed_grant,Trenton,NJ,08648,False,True,False,0.0,0.0,40000.0,0.0,0.0,,,,,,,,,1984,1984
philadelphia,SABRE SYSTEMS INC,sabre systems,confirmed_grant,WARMINSTER,PA,18974-4920,False,True,False,0.0,8.0,3130665.41,0.0,0.0,,,,,QLZ1KQ9ETZH3,601242910,http://www.sabresystems.com,319,2016,2024
philadelphia,SAGE SMART GARDEN LLC,sage smart garden,confirmed_grant,PHILADELPHIA,PA,19146-2632,False,True,False,0.0,1.0,25000.0,0.0,0.0,,,,,YMMCYJNGCXP1,081303576,http://www.sage.garden,3,2020,2020
