msa,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,year_incorp,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url
atlanta,"BIOCURE, INC.",biocure,grant_only_company,startup,unknown,NORCROSS,GA,30071,False,True,False,False,0.0,1.0,199889.0,0.0,0.0,,,,,,,,http://,0,2009,2009,,
atlanta,"BIOTECHNICAL COMMUNICATIONS, INC.",biotechnical communications,grant_only_company,startup,biotech,ATLANTA,GA,30328-,False,True,False,False,0.0,9.0,5337374.0,0.0,0.0,,,,,,V9JHE2Z4BAR7,877988022,,,1993,2011,,
atlanta,BLIND TIGER COMMUNICATIONS ,blind tiger communications,grant_only_company,startup,unknown,BLAIRSVILLE,GA,30512-1982,False,True,False,False,0.0,1.0,74983.0,0.0,0.0,,,,,,ML5DMK7AJNT4,074580285,http://www.blindtigercom.com,2,2019,2019,,
atlanta,BLOOMALO LLC,bloomalo,grant_only_company,startup,unknown,ATLANTA,GA,30342-1430,False,True,False,False,0.0,1.0,256000.0,0.0,0.0,,,,,,Z9E2V16911T3,117924374,,4,2022,2022,,
atlanta,BOXLOCK INC,boxlock,grant_only_company,startup,unknown,ATLANTA,GA,30316-1137,False,True,False,False,0.0,1.0,49817.0,0.0,0.0,,,,,,LL91NLYHY1U5,081032159,https://getboxlock.com,14,2021,2021,,
atlanta,BT POST,bt post,grant_only_company,startup,unknown,ATLANTA,GA,30307-2557,False,True,False,False,0.0,1.0,99999.0,0.0,0.0,,,,,,,006806032,,1,2010,2010,,
atlanta,"Baker Street Scientific, INC",baker street scientific,grant_only_company,startup,unknown,Rome,GA,30161-3075,False,True,False,False,0.0,2.0,189144.0,0.0,0.0,,,,,,KMNKNLL31J63,079536548,http://www.bakersci.com,20,2019,2021,,
atlanta,Big Nerd Ranch LLC ,big nerd ranch,grant_only_company,startup,unknown,Atlanta,GA,30307-2299,False,True,False,False,0.0,2.0,243582.0,0.0,0.0,,,,,,N4TCPMS6XZ45,078734319,https://www.bignerdranch.com,97,2016,2019,,
atlanta,Biofield Corpon,biofield corpon,grant_only_company,startup,unknown,Conyers,GA,30208,False,True,False,False,0.0,0.0,50000.0,0.0,0.0,,,,,,,,,,1992,1992,,
atlanta,Biomedical Design Inc.,biomedical design,grant_only_company,startup,unknown,Atlanta,GA,30318,False,True,False,False,0.0,0.0,594162.0,0.0,0.0,,,,,,,,,,1989,1994,,
atlanta,Bionic Sciences Inc.,bionic sciences,grant_only_company,startup,unknown,Atlanta,GA,30316,False,True,False,False,0.0,4.0,1219393.0,0.0,0.0,,,,,,,078532671,,4,2013,2018,,
atlanta,"Blink Astro, LLC",blink astro,grant_only_company,startup,unknown,Atlanta,GA,30338-7710,False,True,False,False,0.0,1.0,124968.0,0.0,0.0,,,,,,ZL72UQHGPM59,080082313,www.blinkastro.com,6,2018,2018,,
