msa,source_form_d,source_sbir,source_nih,source_tto,form_d_filings,sbir_awards,sbir_total_usd,nih_grants,nih_total_usd,name,name_norm,tier,entity_type,ls_subcategory,city,state,zip,industry,tagline,tto_source_name,cik,uei,duns,website,employees,sbir_first_year,sbir_last_year,tto_location,url,priority_score,founded_year
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Blue Summit Hospice & Palliative Care, Inc.",blue summit hospice palliative care,operating_company,startup,medtech,ATLANTA,GA,30318,Other Health Care,,,1945223.0,,,,,,,,,4,2022.0
atlanta,True,False,False,False,7.0,0.0,0.0,0.0,0.0,"Brij Medical, Inc.",brij medical,operating_company,startup,medtech,Marietta,GA,30067,Other Health Care,,,1872429.0,,,,,,,,,4,2021.0
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,Brijjitco LLC,brijjitco,operating_company,startup,medtech,ATLANTA,GA,30309,Other Health Care,,,1709095.0,,,,,,,,,4,2016.0
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,Carestream Dental Alpha Ltd,carestream dental alpha,operating_company,startup,medtech,ATLANTA,GA,30339,Other Health Care,,,1744559.0,,,,,,,,,4,2017.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Delaney SL Fund, LLC",delaney sl fund,operating_company,startup,medtech,DULUTH,GA,30096,Other Health Care,,,2089798.0,,,,,,,,,4,2024.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"EmTheraPro, Inc.",emtherapro,operating_company,startup,medtech,DECATUR,GA,30030,Other Health Care,,,1992821.0,,,,,,,,,4,2021.0
atlanta,True,False,False,False,2.0,0.0,0.0,0.0,0.0,"Excel Health, LLC",excel health,operating_company,startup,medtech,ATLANTA,GA,30309,Other Health Care,,,1693389.0,,,,,,,,,4,2015.0
atlanta,True,False,False,False,4.0,0.0,0.0,0.0,0.0,"Falcon Hospice, L.P.",falcon hospice l p,operating_company,startup,medtech,ATLANTA,GA,30339,Other Health Care,,,1946789.0,,,,,,,,,4,2022.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"FlexSpark, Inc.",flexspark,operating_company,startup,medtech,ATLANTA,GA,30341,Other Health Care,,,1674826.0,,,,,,,,,4,2016.0
atlanta,True,False,False,False,5.0,0.0,0.0,0.0,0.0,"Focused Cryo, Inc",focused cryo,operating_company,startup,medtech,KENNESAW,GA,30144,Other Health Care,,,1835523.0,,,,,,,,,4,2019.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Georgia Medicinal Partners, LLC",georgia medicinal partners,operating_company,startup,medtech,ROSWELL,GA,30076,Other Health Care,,,1844797.0,,,,,,,,,4,2020.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Global Continence, Inc.",global continence,operating_company,startup,medtech,ATLANTA,GA,30329,Other Health Care,,,1945306.0,,,,,,,,,4,2021.0
atlanta,True,False,False,False,1.0,0.0,0.0,0.0,0.0,"Greatest Generation Partners Fund Three, LLC",greatest generation partners fund three,operating_company,startup,medtech,ATLANTA,GA,30361,Other Health Care,,,1909587.0,,,,,,,,,4,2022.0
